id;Название;Ссылка;Цена;Адресс;Застройщик;Время создания
0;2-к квартира, 631 м², 6/17 эт.;https://www.avito.ru//tyumen/kvartiry/2-k_kvartira_631_m_617_et._1833151588;5 200 000  ₽;Квартал «Новин»ул. 50 лет Октября, д. 57Вр-н Ленинский;2 часа назад;2 часа назад
1;2-к квартира, 50 м², 3/24 эт.;https://www.avito.ru//tyumen/kvartiry/2-k_kvartira_50_m_324_et._1940553538;3 275 000  ₽;ЖК «Озёрный парк»ул. Комбинатская/Октябрьская, стр. 248р-н Калининский;Застройщик2 часа назад;2 часа назад
2;3-к квартира, 90.5 м², 2/16 эт.;https://www.avito.ru//tyumen/kvartiry/3-k_kvartira_90.5_m_216_et._1842225694;4 050 000  ₽;ЖР «Ново-Патрушево»ул. Александра Митинского/Федюнинского/Павла Шарова/Федюнинского, ЖР «Ново-Патрушево»р-н Восточный;ОАО Тюменская домостроительная компания2 часа назад;2 часа назад
3;2-к квартира, 56.1 м², 13/16 эт.;https://www.avito.ru//tyumen/kvartiry/2-k_kvartira_56.1_m_1316_et._1842315425;3 000 000  ₽;ЖР «Ново-Патрушево»ул. Александра Митинского/Федюнинского/Павла Шарова/Федюнинского, ЖР «Ново-Патрушево»р-н Восточный;ОАО Тюменская домостроительная компания2 часа назад;2 часа назад
4;1-к квартира, 46 м², 14/16 эт.;https://www.avito.ru//tyumen/kvartiry/1-k_kvartira_46_m_1416_et._1842081891;2 500 000  ₽;ЖР «Ново-Патрушево»ул. Александра Митинского/Федюнинского/Павла Шарова/Федюнинского, ЖР «Ново-Патрушево»р-н Восточный;ОАО Тюменская домостроительная компания2 часа назад;2 часа назад
5;3-к квартира, 92.6 м², 2/10 эт.;https://www.avito.ru//tyumen/kvartiry/3-k_kvartira_92.6_m_210_et._1949655439;5 276 000  ₽;ЖК «Акватория»ул. Павла Никольского, д. 2р-н Ленинский;"ООО ""СЗ СБК""4 часа назад";4 часа назад
6;1-к квартира, 40.1 м², 5/24 эт.;https://www.avito.ru//tyumen/kvartiry/1-k_kvartira_40.1_m_524_et._1877300874;2 620 000  ₽;«Да. Квартал «Республика»ул. Республики, стр. 204, корп. 5р-н Ленинский;"Группа компаний ""Дом""2 часа назад";2 часа назад
7;Студия, 27.6 м², 10/24 эт.;https://www.avito.ru//tyumen/kvartiry/studiya_27.6_m_1024_et._1877277440;1 980 000  ₽;«Да. Квартал «Республика»ул. Республики, стр. 204, корп. 5р-н Ленинский;"Группа компаний ""Дом""2 часа назад";2 часа назад
8;2-к квартира, 65 м², 15/17 эт.;https://www.avito.ru//tyumen/kvartiry/2-k_kvartira_65_m_1517_et._1781139506;4 720 000  ₽;Мкр. «Правобережный»ул. Мельникайте, д. 32р-н Центральный;"Группа компаний ""Дом""2 часа назад";2 часа назад
9;3-к квартира, 80.2 м², 7/17 эт.;https://www.avito.ru//tyumen/kvartiry/3-k_kvartira_80.2_m_717_et._1781165278;6 130 000  ₽;Мкр. «Правобережный»ул. Мельникайте, д. 34, корп. 1р-н Центральный;"Группа компаний ""Дом""2 часа назад";2 часа назад
10;1-к квартира, 48.3 м², 10/17 эт.;https://www.avito.ru//tyumen/kvartiry/1-k_kvartira_48.3_m_1017_et._1781245277;3 860 000  ₽;Мкр. «Правобережный»ул. Мельникайте, д. 34, корп. 1р-н Центральный;"Группа компаний ""Дом""2 часа назад";2 часа назад
